BS_Tilt,BS_Azimuth,BS_Height,Distance,UE_Azimuth,UE_Tilt,RS_CIN_DL,RSRP,UE_Clutter,LOS,First_Diffraction,Last_Diffraction,Indoor_Path,Outdoor_Path,Penetrations_BT1,Penetration_Distance_BT1,Percent_Propagation_Path_BT1,Penetrations_BT2,Penetration_Distance_BT2,Percent_Propagation_Path_BT2,Penetrations_Trees,Penetration_Distance_Trees,Percent_Propagation_Path_Trees,Penetrations_Bridge,Penetration_Distance_Bridge,Percent_Propagation_Path_Bridge,Total_Penetrations,Propagation_Path,Log_Propagation_Path,BS_X,BS_Y,BS_Z,UE_X,UE_Y,UE_Z,Manhattan_Distance,Pathloss,BS_Clutter
0,179,32,750.15,12.628,-1.8706,2.2813,-95.836,5,0,700.29,0,303.89,446.02,0,0,0,14,303.89,100,0,0,0,0,0,0,14,749.91,2.875,5.9507e+05,5.6329e+06,72,5.9491e+05,5.6322e+06,47.5,896,134.81,4
0,152,29,1046.9,357.59,-1.0671,5.6816,-88.649,5,0,971.21,0.91022,148.24,898.52,0,0,0,9,148.24,100,0,0,0,0,0,0,9,1046.8,3.0198,5.9475e+05,5.6333e+06,61,5.948e+05,5.6322e+06,40.5,1090,127.63,4
0,152,29,1017.6,4.8478,-1.3792,8.9823,-85.836,5,1,727.4,0,0,1017.4,0,0,0,0,0,100,0,0,0,0,0,0,0,1017.4,3.0075,5.9475e+05,5.6333e+06,61,5.9467e+05,5.6323e+06,52.5,1100,124.81,4
0,179,32,776.06,33.117,-2.6927,9.2665,-78.649,5,0,169.21,0,268.33,506.96,0,0,0,7,268.33,100,0,0,0,0,0,0,7,775.28,2.8895,5.9507e+05,5.6329e+06,72,5.9465e+05,5.6323e+06,35.5,1074,117.63,4
0,179,32,756.7,32.808,-2.686,3.7214,-81.461,5,0,135.47,0,18.589,737.36,0,0,0,2,18.589,100,0,0,0,0,0,0,2,755.95,2.8785,5.9507e+05,5.6329e+06,72,5.9466e+05,5.6323e+06,48.5,1046,120.44,4
0,179,32,695.65,25.092,-2.6749,5.3524,-88.336,10,0,142.89,0,141.67,553.51,0,0,0,10,141.67,100,0,0,0,0,0,0,10,695.17,2.8421,5.9507e+05,5.6329e+06,72,5.9478e+05,5.6323e+06,39.5,925,127.31,4
0,200,32,452.77,22.6,-4.3574,1.5735,-97.774,5,0,172.66,0,212.88,239.62,0,0,0,5,212.88,100,0,0,0,0,0,0,5,452.5,2.6556,5.9526e+05,5.6327e+06,94,5.9509e+05,5.6323e+06,58.5,592,136.75,1
0,200,32,685.96,55.453,-4.7915,11.549,-89.711,5,0,0,0,86.175,598.4,0,0,0,11,86.175,100,0,0,0,0,0,0,11,684.57,2.8354,5.9526e+05,5.6327e+06,94,5.947e+05,5.6323e+06,36.5,954,128.69,1
0,200,32,431.39,22.344,-4.5724,9.0636,-81.461,5,0,172.45,0,155.25,275.89,0,0,0,4,155.25,100,0,0,0,0,0,0,4,431.14,2.6346,5.9526e+05,5.6327e+06,94,5.951e+05,5.6323e+06,75.5,563,120.44,1
0,200,32,413.86,20.362,-4.4902,18.856,-80.649,5,0,174.63,0,156.7,256.95,0,0,0,4,156.7,100,0,0,0,0,0,0,4,413.64,2.6166,5.9526e+05,5.6327e+06,94,5.9512e+05,5.6323e+06,74.5,532,119.63,1
0,200,32,679.51,56.403,-4.8369,6.7075,-73.649,5,1,0,0,0,678.1,0,0,0,0,0,100,0,0,0,0,0,0,0,678.1,2.8313,5.9526e+05,5.6327e+06,94,5.947e+05,5.6323e+06,50.5,942,112.63,1
0,200,32,658.17,55.899,-4.9929,0.04274,-95.961,5,0,0,0,76.789,580.03,0,0,0,6,76.789,100,0,0,0,0,0,0,6,656.82,2.8174,5.9526e+05,5.6327e+06,94,5.9472e+05,5.6324e+06,36.5,914,134.94,1
0,200,32,404.62,24.221,-4.7329,10.132,-79.836,5,0,169.99,0,168.57,235.79,0,0,0,7,168.57,100,0,0,0,0,0,0,7,404.36,2.6068,5.9526e+05,5.6327e+06,94,5.951e+05,5.6324e+06,59.5,535,118.81,1
0,200,32,761.41,61.954,-4.4683,1.0191,-89.649,5,0,0,0,24.505,735.16,0,0,0,1,24.505,100,0,0,0,0,0,0,1,759.67,2.8806,5.9526e+05,5.6327e+06,94,5.9459e+05,5.6324e+06,43.5,1030,128.63,1
0,200,32,673.32,57.679,-4.8811,14.236,-73.649,5,1,0,0,0,671.89,0,0,0,0,0,100,0,0,0,0,0,0,0,671.89,2.8273,5.9526e+05,5.6327e+06,94,5.9469e+05,5.6324e+06,49.5,929,112.63,1
0,179,32,550.65,5.6278,-1.7163,5.7538,-77.774,5,1,545.05,0,0,550.54,0,0,0,0,0,100,0,0,0,0,0,0,0,550.54,2.7408,5.9507e+05,5.6329e+06,72,5.9502e+05,5.6324e+06,73.5,602,116.75,4
0,179,32,661.04,36.263,-3.074,16.064,-73.961,5,1,169.11,0,0,660.28,0,0,0,0,0,100,0,0,0,0,0,0,0,660.28,2.8197,5.9507e+05,5.6329e+06,72,5.9468e+05,5.6324e+06,35.5,924,112.94,4
0,179,32,588.43,28.525,-3.2584,0.23988,-94.024,5,0,137.05,0,132.63,455.32,0,0,0,11,132.63,100,0,0,0,0,0,0,11,587.95,2.7693,5.9507e+05,5.6329e+06,72,5.9479e+05,5.6324e+06,38.5,798,133,4
0,200,32,501.18,50.912,-5.7539,6.5277,-85.024,10,0,0,0,59.798,440.46,0,0,0,4,59.798,100,0,0,0,0,0,0,4,500.26,2.6992,5.9526e+05,5.6327e+06,94,5.9487e+05,5.6324e+06,43.5,705,124,1
0,179,32,545.82,18.037,-2.7796,7.5421,-85.149,5,0,145.29,0,40.342,505.24,0,0,0,4,40.342,100,0,0,0,0,0,0,4,545.58,2.7369,5.9507e+05,5.6329e+06,72,5.949e+05,5.6324e+06,65.5,688,124.13,4
0,200,32,314.24,8.2332,-4.6393,26.529,-75.774,27,0,231.25,0,80.838,233.33,0,0,0,2,80.838,100,0,0,0,0,0,0,2,314.17,2.4972,5.9526e+05,5.6327e+06,94,5.9522e+05,5.6324e+06,68.5,356,114.75,1
0,200,32,645.01,62.283,-5.1823,2.1818,-74.274,5,1,0,0,0,643.53,0,0,0,0,0,100,0,0,0,0,0,0,0,643.53,2.8086,5.9526e+05,5.6327e+06,94,5.9469e+05,5.6324e+06,51.5,871,113.25,1
0,179,32,574.56,30.314,-3.3369,0.76582,-94.461,5,0,153.36,0,94.612,479.44,0,0,0,8,94.612,100,0,0,0,0,0,0,8,574.05,2.7589,5.9507e+05,5.6329e+06,72,5.9478e+05,5.6324e+06,37.5,786,133.44,4
0,179,32,517.36,18.015,-2.8217,6.927,-84.586,5,0,145.41,0,154.75,362.38,0,0,0,5,154.75,100,0,0,0,0,0,0,5,517.13,2.7136,5.9507e+05,5.6329e+06,72,5.9491e+05,5.6324e+06,46.5,652,123.56,4
0,179,32,498.27,6.5688,-2.0115,6.6673,-75.336,5,1,498.17,0,0,498.17,0,0,0,0,0,100,0,0,0,0,0,0,0,498.17,2.6974,5.9507e+05,5.6329e+06,72,5.9501e+05,5.6324e+06,71.5,552,114.31,4
0,179,32,498.69,4.7159,-1.7803,2.0354,-85.836,5,0,464.74,0,80.359,418.23,0,0,0,5,80.359,100,0,0,0,0,0,0,5,498.59,2.6977,5.9507e+05,5.6329e+06,72,5.9503e+05,5.6324e+06,56.5,538,124.81,4
0,200,32,300.28,2.4813,-4.4749,24.825,-78.961,27,0,276.58,0,74.377,225.85,0,0,0,2,74.377,100,0,0,0,0,0,0,2,300.23,2.4775,5.9526e+05,5.6327e+06,94,5.9525e+05,5.6324e+06,70.5,313,117.94,1
0,200,32,459.61,52.781,-6.0238,6.1803,-84.274,5,0,0,0,50.496,408.24,0,0,0,3,50.496,100,0,0,0,0,0,0,3,458.73,2.6616,5.9526e+05,5.6327e+06,94,5.949e+05,5.6324e+06,44.5,644,123.25,1
0,200,32,455.92,54.462,-6.1964,6.2052,-84.586,5,0,0,0,89.889,365.13,0,0,0,6,89.889,100,0,0,0,0,0,0,6,455.02,2.658,5.9526e+05,5.6327e+06,94,5.9489e+05,5.6325e+06,44.5,636,123.56,1
0,200,32,302.69,21.309,-5.5663,9.0849,-83.461,7,0,173.86,0,110.63,191.89,0,0,0,1,110.63,100,0,0,0,0,0,0,1,302.53,2.4808,5.9526e+05,5.6327e+06,94,5.9515e+05,5.6324e+06,94.5,392,122.44,1
0,200,32,280.11,1.6366,-4.5924,11.3,-78.086,27,1,271.88,0,0,280.07,0,0,0,0,0,100,0,0,0,0,0,0,0,280.07,2.4473,5.9526e+05,5.6327e+06,94,5.9526e+05,5.6324e+06,105.5,288,117.06,1
